"","infection_time","interaction","name","selected","shared interaction","shared name"
"665","-1","interacts with","21.0 (interacts with) 68.0","false","interacts with","21.0 (interacts with) 68.0"
"601","-1","interacts with","319.0 (interacts with) 327.0","false","interacts with","319.0 (interacts with) 327.0"
"600","-1","interacts with","319.0 (interacts with) 320.0","false","interacts with","319.0 (interacts with) 320.0"
"599","-1","interacts with","319.0 (interacts with) 219.0","false","interacts with","319.0 (interacts with) 219.0"
"489","-1","interacts with","250.0 (interacts with) 353.0","false","interacts with","250.0 (interacts with) 353.0"
"488","-1","interacts with","250.0 (interacts with) 101.0","false","interacts with","250.0 (interacts with) 101.0"
"487","-1","interacts with","250.0 (interacts with) 98.0","false","interacts with","250.0 (interacts with) 98.0"
"486","-1","interacts with","250.0 (interacts with) 330.0","false","interacts with","250.0 (interacts with) 330.0"
"485","-1","interacts with","250.0 (interacts with) 258.0","false","interacts with","250.0 (interacts with) 258.0"
"544","-1","interacts with","61.0 (interacts with) 326.0","false","interacts with","61.0 (interacts with) 326.0"
"543","-1","interacts with","61.0 (interacts with) 164.0","false","interacts with","61.0 (interacts with) 164.0"
"554","-1","interacts with","217.0 (interacts with) 218.0","false","interacts with","217.0 (interacts with) 218.0"
"553","-1","interacts with","217.0 (interacts with) 216.0","false","interacts with","217.0 (interacts with) 216.0"
"552","-1","interacts with","341.0 (interacts with) 340.0","false","interacts with","341.0 (interacts with) 340.0"
"550","-1","interacts with","71.0 (interacts with) 77.0","false","interacts with","71.0 (interacts with) 77.0"
"549","-1","interacts with","71.0 (interacts with) 331.0","false","interacts with","71.0 (interacts with) 331.0"
"548","-1","interacts with","71.0 (interacts with) 239.0","false","interacts with","71.0 (interacts with) 239.0"
"547","-1","interacts with","71.0 (interacts with) 125.0","false","interacts with","71.0 (interacts with) 125.0"
"542","-1","interacts with","277.0 (interacts with) 43.0","false","interacts with","277.0 (interacts with) 43.0"
"541","-1","interacts with","93.0 (interacts with) 167.0","false","interacts with","93.0 (interacts with) 167.0"
"540","-1","interacts with","93.0 (interacts with) 99.0","false","interacts with","93.0 (interacts with) 99.0"
"539","-1","interacts with","93.0 (interacts with) 84.0","false","interacts with","93.0 (interacts with) 84.0"
"538","-1","interacts with","93.0 (interacts with) 80.0","false","interacts with","93.0 (interacts with) 80.0"
"537","-1","interacts with","351.0 (interacts with) 211.0","false","interacts with","351.0 (interacts with) 211.0"
"536","-1","interacts with","351.0 (interacts with) 308.0","false","interacts with","351.0 (interacts with) 308.0"
"438","-1","interacts with","145.0 (interacts with) 144.0","false","interacts with","145.0 (interacts with) 144.0"
"437","-1","interacts with","145.0 (interacts with) 143.0","false","interacts with","145.0 (interacts with) 143.0"
"436","-1","interacts with","145.0 (interacts with) 260.0","false","interacts with","145.0 (interacts with) 260.0"
"435","-1","interacts with","145.0 (interacts with) 7.0","false","interacts with","145.0 (interacts with) 7.0"
"434","-1","interacts with","106.0 (interacts with) 349.0","false","interacts with","106.0 (interacts with) 349.0"
"433","-1","interacts with","106.0 (interacts with) 246.0","false","interacts with","106.0 (interacts with) 246.0"
"432","-1","interacts with","106.0 (interacts with) 88.0","false","interacts with","106.0 (interacts with) 88.0"
"431","-1","interacts with","106.0 (interacts with) 212.0","false","interacts with","106.0 (interacts with) 212.0"
"430","-1","interacts with","106.0 (interacts with) 243.0","false","interacts with","106.0 (interacts with) 243.0"
"429","-1","interacts with","106.0 (interacts with) 108.0","false","interacts with","106.0 (interacts with) 108.0"
"428","-1","interacts with","106.0 (interacts with) 276.0","false","interacts with","106.0 (interacts with) 276.0"
"427","-1","interacts with","275.0 (interacts with) 277.0","false","interacts with","275.0 (interacts with) 277.0"
